date,LTS_ERA5,LTS_sounding,invHeight,invStrength,INV
1980/9/1,15.095,14.6,3500,6.338939198,0
1980/9/2,15.253,14.7,1600,8.205128205,0
1980/9/3,14.057,13.9,1100,9.988010977,1
1980/9/4,13.486,13.2,1700,5.769230769,0
1980/9/5,14.051,14.2,500,20.98651591,1
1980/9/6,14.897,13.6,2000,9.077155825,0
1980/9/8,15.211,11.8,3400,5.646481178,0
1980/9/9,15.641,15.9,1600,15.5234657,1
1980/9/11,13.375,15.7,2700,17.87439614,1
1980/9/12,13.024,14.8,1700,17.1875,1
1980/9/13,15.757,16.7,1500,17.79320461,1
1980/9/14,17.156,19,2400,26.90217391,1
1980/9/16,14.106,13.8,3200,11.05990783,1
1980/9/17,14.923,16.2,1600,6.40776699,0
1980/9/18,13.735,15.5,2000,6.912442396,0
1980/9/19,15.87,14.2,3300,10.45454545,1
1980/9/20,14.892,14.3,1400,6.726457399,0
1980/9/21,14.657,14.4,2800,10.62992126,1
1980/9/22,13.801,11.8,2500,10.44776119,1
1980/9/23,13.932,13.8,2200,7.025761124,0
1980/9/24,13.77,14.2,1400,8.947368421,0
1980/9/25,14.188,11.9,3200,6.451612903,0
1980/9/26,14.905,13.5,2100,6.559766764,0
1980/9/27,14.877,14.6,2400,10.63122924,1
1980/9/28,14.726,14.4,2000,10.49284579,1
1980/9/29,15.918,15.1,2300,10.56338028,1
1980/9/30,14.336,14.3,3800,7.547169811,0
1980/10/1,12.147,12.7,1700,22.35772358,1
1980/10/2,11.874,10.8,2700,10.9947644,1
1980/10/3,11.934,12.4,3300,5.901116427,0
1980/10/4,11.438,12,1200,18.945035,1
1980/10/5,11.505,13.2,3800,7.01743517,0
1980/10/6,14.443,16.9,3500,11.00244499,1
1980/10/7,15.033,16,1900,10.36036036,1
1980/10/8,14.627,17.91808234,1200,15.87837838,1
1980/10/9,13.589,15.3,1700,10.21194605,1
1980/10/10,15.702,17,3200,9.022556391,0
1980/10/11,13.696,13.3,900,6.15212528,0
1980/10/13,14.039,13.4,1100,16.47058824,1
1980/10/14,14.63,16.3,1400,23.37662338,1
1980/10/15,16.049,17.4,1500,20.98139769,1
1980/10/16,14.407,16.5,1300,16.28664495,1
1980/10/17,14.562,13.8,700,51.38004246,1
1980/10/18,14.594,12.8,3200,6.26566416,0
1980/10/19,14.662,12.4,2100,5.542725173,0
1980/10/20,14.426,17.7,2100,10.30927835,1
1980/10/21,13.352,13.8,2400,10.2661597,1
1980/10/22,11.876,15.8,3200,11.02661597,1
1980/10/23,13.6,15.3,2900,17.95918367,1
1980/10/24,14.852,13.9,2200,10.46025105,1
1980/10/25,15.901,17.7,1700,10.32448378,1
1980/10/26,19.028,21.6,1600,19.20199501,1
1980/10/27,14.739,15.7,1900,26.74418605,1
